"","Latitude","Longitude","ein","YEAR","org_outlier","AMT_GRANTS","LSC","AMT_LSC_GRANTS","ORG_REVENUE","COMPETITION10","COMPETITION30","CJS_HOUSE","CJS_HOUSE_RANK","CJS_SENATE","CJS_SENATE_RANK","GOV_PRES","POP_DENS","HIGHSCHOOL","FOREI_BORN","NOT_ENG_HO","VETERAN","RENT_UNIT","FIXBB","POVERTY","POVERTY125","UNDER18","OVER59","RURAL","MINORITY","coeflscMINORITYPOP10PER","coeflscRURALPOP10PER","coeflscVETERAN","coeflscFIXBB","coeflscpop_dens","coeflscORG_REVENUE","coeflscCOMPETITION10","coeflscCOMPETITION30","coeflscCJS_HOUSE","coeflscCJS_HOUSE_RANK","coeflscCJS_SENATE","coeflscCJS_SENATE_RANK","coeflscGOV_PRES","coeflscPOP_DENS","coeflscHIGHSCHOOL","coeflscFOREI_BORN","coeflscNOT_ENG_HO","coeflscRENT_UNIT","coeflscPOVERTY","coeflscPOVERTY125","coeflscUNDER18","coeflscOVER59","coeflscMINORITY","coeflscRURAL","optional"
"1",31.69908341,-87.80271064,631162511,2015,FALSE,11.0395080152646,0,0,12.4055940445769,0,0,0,0,1,0,0,20.45346322,80.1,0.6,1.3,7.5,29.9,52,27,32,23.5,22.60000038,75.980335230132,46.0264003406496,-0.00215128707930617,0.00158416586780084,0.00248401090137244,0.00122858549392258,-1.75363066606601e-05,0.19706823366405,0.0360125104378751,-0.149614312299458,0.106634560249715,0.060676366581232,-0.019107922373856,-0.0866449196186694,-0.0238766144770557,-1.75363066606601e-05,-0.00500152873568029,-0.00165208594075951,-0.0046305680384895,-0.00301903254908353,-0.0287624612155302,0.0253827398495119,-0.0268317070348277,-0.0196477019378756,-0.00215128707930617,0.00158416586780084,TRUE
"2",31.69908341,-87.80271064,631162511,2016,FALSE,10.1022564407087,0,0,12.4055940445769,0,0,0,0,1,0,1,20.45346322,80.1,0.6,1.3,7.5,29.9,52,27,32,23.5,22.60000038,75.980335230132,46.0264003406496,-0.00215128707930617,0.00158416586780084,0.00248401090137244,0.00122858549392258,-1.75363066606601e-05,0.19706823366405,0.0360125104378751,-0.149614312299458,0.106634560249715,0.060676366581232,-0.019107922373856,-0.0866449196186694,-0.0238766144770557,-1.75363066606601e-05,-0.00500152873568029,-0.00165208594075951,-0.0046305680384895,-0.00301903254908353,-0.0287624612155302,0.0253827398495119,-0.0268317070348277,-0.0196477019378756,-0.00215128707930617,0.00158416586780084,TRUE
"3",31.69908341,-87.80271064,631162511,2017,FALSE,8.1605182474775,0,0,12.4055940445769,0,0,0,0,1,1,1,20.45346322,80.1,0.6,1.3,7.5,29.9,52,27,32,23.5,22.60000038,75.980335230132,46.0264003406496,-0.00215128707930617,0.00158416586780084,0.00248401090137244,0.00122858549392258,-1.75363066606601e-05,0.19706823366405,0.0360125104378751,-0.149614312299458,0.106634560249715,0.060676366581232,-0.019107922373856,-0.0866449196186694,-0.0238766144770557,-1.75363066606601e-05,-0.00500152873568029,-0.00165208594075951,-0.0046305680384895,-0.00301903254908353,-0.0287624612155302,0.0253827398495119,-0.0268317070348277,-0.0196477019378756,-0.00215128707930617,0.00158416586780084,TRUE
"4",33.5155188,-86.805234,134270862,2015,FALSE,11.4403547721354,0,0,13.0368824649471,0,0,0,0,1,0,0,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.0019453948677236,0.00207679975769625,-0.000143690868910382,0.00163239701038782,-1.38916020085573e-05,0.205102138430806,-0.0632744220342595,-0.140777991060805,0.0945463625940384,0.0484663725043303,-0.0242566179585934,-0.0762104756582921,-0.0268875398426181,-1.38916020085573e-05,-0.00896590735337967,-0.00629561501540428,-0.00348466498244966,0.00131397538515363,-0.0172064018038704,0.00705548740176578,-0.0302436919180301,-0.0169611390906412,-0.0019453948677236,0.00207679975769625,TRUE
"5",33.5155188,-86.805234,630341366,2015,FALSE,9.15620092587553,0,0,14.5623683962333,0,0,0,0,1,0,0,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.0019453948677236,0.00207679975769625,-0.000143690868910382,0.00163239701038782,-1.38916020085573e-05,0.205102138430806,-0.0632744220342595,-0.140777991060805,0.0945463625940384,0.0484663725043303,-0.0242566179585934,-0.0762104756582921,-0.0268875398426181,-1.38916020085573e-05,-0.00896590735337967,-0.00629561501540428,-0.00348466498244966,0.00131397538515363,-0.0172064018038704,0.00705548740176578,-0.0302436919180301,-0.0169611390906412,-0.0019453948677236,0.00207679975769625,TRUE
"6",33.5155188,-86.805234,630341366,2015,FALSE,9.15620092587553,0,0,14.5623683962333,0,0,0,0,1,0,0,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.0019453948677236,0.00207679975769625,-0.000143690868910382,0.00163239701038782,-1.38916020085573e-05,0.205102138430806,-0.0632744220342595,-0.140777991060805,0.0945463625940384,0.0484663725043303,-0.0242566179585934,-0.0762104756582921,-0.0268875398426181,-1.38916020085573e-05,-0.00896590735337967,-0.00629561501540428,-0.00348466498244966,0.00131397538515363,-0.0172064018038704,0.00705548740176578,-0.0302436919180301,-0.0169611390906412,-0.0019453948677236,0.00207679975769625,TRUE
"7",33.4781855,-86.7883798,631201369,2015,FALSE,10.4133126759685,0,0,11.7145797674415,0,0,0,0,1,0,0,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.00196526564403421,0.0020853364113741,-7.54103787433286e-05,0.00163301730596312,-1.36856296948769e-05,0.204875354294082,-0.0622605505355099,-0.14071388562353,0.0945545997204185,0.0468798100863427,-0.0240445915123868,-0.0762744386618722,-0.0265128486708793,-1.36856296948769e-05,-0.00891325888555164,-0.00621146191772885,-0.00348045810739988,0.00130424289187526,-0.0171464912589255,0.00713898833898846,-0.0300022355278303,-0.0169463668222318,-0.00196526564403421,0.0020853364113741,TRUE
"8",33.5155188,-86.805234,134270862,2016,FALSE,11.6483301019764,0,0,13.0368824649471,0,0,0,0,1,0,1,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.0019453948677236,0.00207679975769625,-0.000143690868910382,0.00163239701038782,-1.38916020085573e-05,0.205102138430806,-0.0632744220342595,-0.140777991060805,0.0945463625940384,0.0484663725043303,-0.0242566179585934,-0.0762104756582921,-0.0268875398426181,-1.38916020085573e-05,-0.00896590735337967,-0.00629561501540428,-0.00348466498244966,0.00131397538515363,-0.0172064018038704,0.00705548740176578,-0.0302436919180301,-0.0169611390906412,-0.0019453948677236,0.00207679975769625,TRUE
"9",33.5155188,-86.805234,630341366,2016,FALSE,8.88405606174246,0,0,14.5623683962333,0,0,0,0,1,0,1,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.0019453948677236,0.00207679975769625,-0.000143690868910382,0.00163239701038782,-1.38916020085573e-05,0.205102138430806,-0.0632744220342595,-0.140777991060805,0.0945463625940384,0.0484663725043303,-0.0242566179585934,-0.0762104756582921,-0.0268875398426181,-1.38916020085573e-05,-0.00896590735337967,-0.00629561501540428,-0.00348466498244966,0.00131397538515363,-0.0172064018038704,0.00705548740176578,-0.0302436919180301,-0.0169611390906412,-0.0019453948677236,0.00207679975769625,TRUE
"10",33.5155188,-86.805234,630341366,2016,FALSE,8.88405606174246,0,0,14.5623683962333,0,0,0,0,1,0,1,592.8604696,87.7,3.9,5.9,8.8,36.1,94,18.7,23.9,23.20000076,19.60000038,9.83376514504925,48.3324879340771,-0.0019453948677236,0.00207679975769625,-0.000143690868910382,0.00163239701038782,-1.38916020085573e-05,0.205102138430806,-0.0632744220342595,-0.140777991060805,0.0945463625940384,0.0484663725043303,-0.0242566179585934,-0.0762104756582921,-0.0268875398426181,-1.38916020085573e-05,-0.00896590735337967,-0.00629561501540428,-0.00348466498244966,0.00131397538515363,-0.0172064018038704,0.00705548740176578,-0.0302436919180301,-0.0169611390906412,-0.0019453948677236,0.00207679975769625,TRUE
